Brand,Product Name,Price,Image URL,Product Link
Puma,Men Borussia Dortmund Football Backpack,"₹1,500",,https://www.ajio.com/puma-men-borussia-dortmund-football-backpack/p/469755396_black?
UNITED COLORS OF BENETTON,Men Backpack with Adjustable Shoulder Straps,"₹1,319",,https://www.ajio.com/united-colors-of-benetton-men-backpack-with-adjustable-shoulder-straps/p/466943280_navy?
VIP,Men Laptop Backpack,"₹5,250",,https://www.ajio.com/vip-men-laptop-backpack/p/701880255_black?
Skybags,Men Typographic Print Backpack with Zip Closure,₹245,,https://www.ajio.com/skybags-men-typographic-print-backpack-with-zip-closure/p/467095856_blue?
Puma,Unisex Plus Logo Print Backpack,₹980,,https://www.ajio.com/puma-unisex-plus-logo-print-backpack/p/469755492_pink?
Puma,Brand Print Everyday Backpack,₹690,,https://www.ajio.com/puma-brand-print-everyday-backpack/p/466829937_black?
Skybags,Men Laptop Backpack with Adjustable Strap,"₹1,350",,https://www.ajio.com/skybags-men-laptop-backpack-with-adjustable-strap/p/700407607_teal?
REDHORNS,Men Back Pack,"₹3,500",,https://www.ajio.com/redhorns-men-back-pack/p/701172619_black?
CARLTON,Men Bradford Laptop Backpack,"₹4,500",,https://www.ajio.com/carlton-men-bradford-laptop-backpack/p/442225632_black?
Skybags,Men Gear Brand Print Laptop Backpack,"₹1,749",,https://www.ajio.com/skybags-men-gear-brand-print-laptop-backpack/p/442172102_blackiris?
Dailyobjects,Textured Laptop Back Pack,"₹1,699",,https://www.ajio.com/dailyobjects--textured-laptop-back-pack/p/465904660_blue?
Priority,Men Printed Everyday Backpack,₹594,,https://www.ajio.com/priority-men-printed-everyday-backpack-/p/466940024_charcoal?
Puma,Colour-block Back Pack,"₹1,281",,https://www.ajio.com/puma-colour-block-back-pack/p/701575680_beige?
Swiss Military,Blizzard Unisex Laptop Backpack,"₹3,670",,https://www.ajio.com/swiss-military-blizzard-unisex-laptop-backpack/p/700502349_black?
UNITED COLORS OF BENETTON,Men Back Pack with Adjustable Straps,"₹1,500",,https://www.ajio.com/united-colors-of-benetton-men-back-pack-with-adjustable-straps/p/467131251_grey?
Jack & Jones,Men Everyday Back Pack,"₹2,399",,https://www.ajio.com/jack--jones-men-everyday-back-pack/p/701307676_black?
Skybags,Men Xelius Plus Brand Print Backpack,"₹1,440",,https://www.ajio.com/skybags-men-xelius-plus-brand-print-backpack/p/442172111_black?
Priority,Typographic Print Backpack with Adjustable Strap,₹394,,https://www.ajio.com/priority-typographic-print-backpack-with-adjustable-strap-/p/700178810_navy?
Puma,Men teamGOAL Football Backpack,"₹1,500",,https://www.ajio.com/puma-men-teamgoal-football-backpack/p/469755384_black?
Skybags,Men Offroader NX 05 Laptop Backpack,₹980,,https://www.ajio.com/skybags-men-offroader-nx-05-laptop-backpack/p/4932177510_multi?
